CustomerID,CustGender,CustAccountBalance,TransactionDate,TransactionTime,TransactionAmount (INR)
C6927025,F,2870.24,12/8/16,102240,42.0
C6927025,M,2617.95,23/8/16,95145,30.0
C6927025,M,31121.47,9/9/16,181240,1299.0
C6927025,F,4346.97,10/9/16,183848,555.0
C1417851,M,85958.23,12/8/16,133736,2005.0
C1417851,F,6784.26,1/9/16,203151,506.0
C1417851,M,13978.28,7/9/16,223921,150.0
C1417851,M,23838.31,10/9/16,214227,1425.0
C1417851,M,565061.37,15/9/16,74914,25.0
C3028417,M,44743.39,24/8/16,164517,3020.0
C3028417,F,250082.79,29/8/16,132310,650.0
C3028417,F,250082.79,28/8/16,145948,531.0
C3028417,M,8799.83,30/8/16,23253,69.0
C3028417,M,15435.54,7/9/16,195906,294.0
C7529869,M,35432.21,6/8/16,202823,68.0
C7529869,F,6090.87,8/8/16,120526,249.0
C7529869,F,22021.16,12/8/16,144302,2957.0
C7529869,F,58611.23,24/8/16,143945,1699.0
C7529869,M,1363.71,12/9/16,134311,169.0
C3417816,M,49300.39,2/8/16,163703,861.0
C3417816,M,81903.66,17/8/16,181556,3001.0
C3417816,M,8260.21,3/9/16,180645,250.38
C3417816,F,24193.18,3/9/16,193605,1000.0
C3417816,F,2584.88,6/9/16,155601,1346.0
C1038492,M,135855.71,15/8/16,161734,22490.01
C1038492,M,82068.25,18/8/16,170515,1078.0
C1038492,M,20342.22,24/8/16,110116,9402.0
C1038492,M,1022.16,26/8/16,134045,1050.0
C1038492,M,2817.16,9/9/16,132213,345.63
C2520287,M,5873.0,11/8/16,214321,312.01
C2520287,M,5833.35,19/8/16,214513,630.3
C2520287,M,552100.0,22/8/16,225705,16472.0
C2520287,M,28355.1,29/8/16,124637,10500.0
C2520287,M,652.8,2/9/16,124532,1343.0
C6526719,M,114980.65,15/8/16,154346,302.85
C6526719,F,23786.38,14/8/16,141311,700.0
C6526719,M,1593.25,22/8/16,220912,180.0
C6526719,M,204.38,29/8/16,111122,2290.0
C6526719,M,225374.06,18/9/16,171600,152.0
C6522879,F,93639.48,1/8/16,202950,500.0
C6522879,M,582237.19,4/8/16,143739,194.0
C6522879,M,358057.2,22/8/16,161409,400.0
C6522879,M,4449.61,25/8/16,193934,67.0
C6522879,M,1559.17,11/9/16,184555,260.0
C2323882,M,6685.71,6/8/16,232549,425.0
C2323882,M,83215.38,9/8/16,161829,150.0
C2323882,M,9518.96,10/8/16,115851,20.0
C2323882,F,26449.7,24/8/16,104858,5000.0
C2323882,M,29650.64,7/9/16,210934,300.0
C7839756,F,34.2,1/8/16,175302,990.0
C7839756,M,15159.15,9/8/16,5139,7083.0
C7839756,M,137.91,24/8/16,142435,30000.0
C7839756,M,8057.91,25/8/16,181317,300.0
C7839756,M,14459.42,15/9/16,225030,200.0
C6912964,M,8.64,26/8/16,53451,49.0
C6912964,F,46403.57,29/8/16,153211,1302.0
C6912964,M,59664.7,3/9/16,202655,1619.0
C6912964,M,15937.22,14/9/16,110947,173.0
C6912964,F,2922.79,14/9/16,145818,58.0
C8638524,M,94864.34,26/9/16,74223,200.0
C8638524,F,5150.71,6/8/16,164806,150.0
C8638524,M,9024.09,5/8/16,195123,2862.0
C8638524,M,1481.92,21/8/16,221036,200.0
C8638524,M,47594.27,28/8/16,145453,148.0
C7937084,M,20158.22,3/8/16,192308,380.0
C7937084,M,14210.74,18/8/16,212516,1008.5
C7937084,F,243.37,25/8/16,134400,57.0
C7937084,M,8605.77,8/9/16,204827,75.0
C7937084,F,163708.47,10/9/16,200238,2104.0
C1929567,M,171586.6,9/8/16,123324,2566.0
C1929567,M,124.23,13/8/16,183359,606.9
C1929567,M,18929.51,24/8/16,211511,250.0
C1929567,F,8834.96,29/8/16,221725,1124.0
C1929567,M,227.09,1/9/16,221424,50.0
C4917867,F,32599.09,2/8/16,185821,4000.0
C4917867,M,5872.0,22/8/16,71614,50.0
C4917867,M,13158.99,28/8/16,125239,50.0
C4917867,M,6074.06,7/9/16,14008,156.0
C4917867,M,459848.41,14/9/16,103424,70000.0
C4129976,F,25876.02,3/8/16,193512,360.0
C4129976,F,51418.67,3/9/16,140941,1398.0
C4129976,M,66719.84,17/8/16,115127,1255.0
C4129976,M,124.49,30/8/16,103042,2500.0
C4129976,M,41407.86,4/9/16,214608,20.0
C5615731,F,15870.36,10/8/16,71255,195.0
C5615731,M,3512.79,18/8/16,122625,6390.0
C5615731,M,138240.35,30/8/16,142438,1000.0
C5615731,M,26457.56,2/9/16,210010,260.0
C5615731,M,186.36,7/9/16,162750,101.88
C4326555,M,87048.1,1/8/16,161116,698.0
C4326555,M,5072.09,4/8/16,223133,75.0
C4326555,M,212.64,21/8/16,152414,627.0
C4326555,F,12105.17,25/8/16,210252,390.0
C4326555,M,2270.57,11/9/16,92829,8.0
C8640473,F,9755.85,2/8/16,171443,1100.0
C8640473,F,13642.2,9/8/16,204548,1735.0
C8640473,F,584.46,8/8/16,202447,100.0
C8640473,M,390309.77,17/8/16,73719,124.0
C8640473,M,118066.12,4/9/16,114243,996.0
C7431859,M,49134.38,21/10/16,213030,528.0
C7431859,M,39155.36,15/8/16,140235,775.0
C7431859,M,1068235.9,9/9/16,85551,340.0
C7431859,M,175128.35,14/9/16,152659,3034.5
C7431859,F,115799.11,18/9/16,133836,2899.0
C5930834,F,164881.45,4/8/16,113400,560.0
C5930834,M,7550.54,9/8/16,43107,905.0
C5930834,M,7069.13,6/9/16,182207,23.0
C5930834,M,150222.79,12/9/16,132529,3795.0
C5930834,M,250945.7,15/9/16,110022,75.72
C2910363,F,928.88,13/8/16,172820,1081.21
C2910363,F,18.89,20/8/16,94931,50.0
C2910363,M,6276.56,28/8/16,180224,500.0
C2910363,M,1641257.55,11/9/16,133904,1910.0
C2910363,M,2199.71,18/9/16,144429,10.0
C5227856,M,55108.81,5/8/16,222827,7766.21
C5227856,M,476427.25,26/8/16,195336,396.0
C5227856,M,46873.79,28/8/16,114616,856.0
C5227856,F,13643.86,31/8/16,161503,185.0
C5227856,F,11872.56,4/9/16,221746,95.0
C8417277,M,1601.59,9/8/16,143003,100.0
C8417277,M,,7/8/16,203722,765.2
C8417277,M,291670.62,15/8/16,150743,15400.0
C8417277,M,46376.82,15/9/16,131856,50.0
C8417277,F,28527.34,18/9/16,170933,780.0
C5831552,F,44627.73,7/8/16,142443,1679.0
C5831552,M,106707.81,19/8/16,165919,340.0
C5831552,M,373068.23,28/8/16,220741,1723.0
C5831552,F,1993608.52,5/9/16,143906,4050.0
C5831552,M,1563.04,9/9/16,70240,50.0
C4038325,M,10568.49,4/8/16,211821,940.0
C4038325,M,13044.66,17/8/16,35346,149.0
C4038325,M,26259.17,26/8/16,125654,180.0
C4038325,M,30230.37,28/8/16,230343,3121.0
C4038325,F,31561.35,3/9/16,160231,19.88
C6536656,M,14367.79,2/8/16,221025,417.0
C6536656,M,55582.99,22/9/16,125041,4261.17
C6536656,M,905866.74,4/9/16,215249,980.0
C6536656,F,22199.75,11/9/16,195441,1400.0
C6536656,M,5412.56,10/9/16,214453,150.0
C5715626,M,22624.41,6/8/16,145451,240.0
C5715626,M,41637.41,7/8/16,174556,1130.0
C5715626,F,1137.67,24/8/16,190348,30.0
C5715626,M,1939.79,28/8/16,152508,751.0
C5715626,M,2494.74,2/9/16,131049,50.0
C8328935,M,23951.08,3/8/16,175007,674.0
C8328935,M,19022.85,29/8/16,211149,101.15
C8328935,M,6892.31,8/9/16,94955,1000.0
C8328935,M,241745.25,8/9/16,93121,2484.0
C8328935,M,982.88,12/9/16,212751,310.0
C5914085,M,176266.01,8/8/16,204208,2052.0
C5914085,M,13054.44,17/8/16,195939,11.0
C5914085,M,3150.35,16/8/16,173955,112.0
C5914085,F,11204.54,21/8/16,134015,1400.0
C5914085,M,21356.77,4/9/16,193319,500.0
C6640718,F,98559.11,6/8/16,185159,358.0
C6640718,M,17206.14,1/9/16,82437,875.0
C6640718,F,96519.45,9/9/16,193236,325.0
C6640718,M,66150.98,11/9/16,144501,150.0
C6640718,M,3432.88,14/9/16,172024,300.0
C7332728,M,17361.99,1/8/16,215405,100.0
C7332728,F,2376.64,5/8/16,195403,1000.0
C7332728,M,30639.44,17/8/16,215503,1198.0
C7332728,M,4228.33,8/9/16,133806,99.0
C7332728,M,138306.71,18/9/16,145705,580.0
C4516768,F,9880.89,27/9/16,164702,50.0
C4516768,F,514098.68,16/8/16,173023,1960.0
C4516768,F,514098.68,21/8/16,190323,927.0
C4516768,F,19911.58,30/8/16,200220,100.0
C4516768,M,25421.05,7/9/16,130812,10.0
C2425572,M,61816.57,25/9/16,235023,250.0
C2425572,M,34.04,26/9/16,200027,1500.0
C2425572,M,63802.47,24/8/16,223220,131.0
C2425572,M,9260.19,31/8/16,231429,100.0
C2425572,F,58251.62,6/9/16,180519,3884.0
C3526453,F,3136.72,6/8/16,143503,841.0
C3526453,M,40588.26,22/8/16,204140,756.0
C3526453,M,402202.9,5/9/16,100141,1300.0
C3526453,M,65217.1,9/9/16,161012,150.0
C3526453,M,6878.53,14/9/16,120902,6999.0
C5334129,F,23758.15,2/8/16,202517,200.0
C5334129,M,158726.99,6/8/16,135943,389.0
C5334129,F,41.56,6/8/16,81918,179.38
C5334129,F,2387103.33,2/9/16,115536,8110.0
C5334129,M,2179.82,13/9/16,182257,150.0
C6533529,M,38.33,11/8/16,153249,265.0
C6533529,M,97.75,15/8/16,94321,249.5
C6533529,M,5705.88,17/8/16,104632,706.05
C6533529,M,2060.31,30/8/16,124519,50.0
C6533529,M,177157.85,6/9/16,145621,842.0
C3833174,M,4682213.6,24/8/16,122911,4069.0
C3833174,F,10953.77,3/9/16,180929,101.15
C3833174,M,2858.18,1/9/16,80106,34.0
C3833174,M,2821.21,6/9/16,113025,7730.0
C3833174,M,83819.48,11/9/16,153532,790.0
C7430686,M,17538.71,27/9/16,20814,206.0
C7430686,M,13903.6,5/8/16,113412,99.0
C7430686,M,9722.27,13/8/16,213521,544.0
C7430686,M,99585.23,23/8/16,135659,500.0
C7430686,M,66286.02,14/9/16,223757,860.0
C6618716,F,1312861.93,15/8/16,161115,899.0
C6618716,M,88.22,21/8/16,102807,60.0
C6618716,M,11160.93,2/9/16,33753,100.0
C6618716,M,11160.93,7/9/16,74007,34.0
C6618716,M,9802.76,13/9/16,120840,470.0
C8528276,M,63223.73,27/9/16,160037,2700.0
C8528276,F,3298.39,23/8/16,224802,250.0
C8528276,M,9830.63,28/8/16,102043,34.0
C8528276,F,11924.27,4/9/16,194252,3195.0
C8528276,F,96.62,11/9/16,145947,367.0
C6331068,M,120773.4,28/8/16,212806,3114.0
C6331068,F,5759.82,2/9/16,144423,270.0
C6331068,F,103280.5,8/9/16,64405,2898.0
C6331068,M,24428.89,11/9/16,202243,500.0
C6331068,M,773.12,10/9/16,233946,150.0
C4035277,M,8573.13,6/8/16,211810,200.0
C4035277,M,67.2,12/8/16,222941,675.0
C4035277,M,28580.18,21/8/16,192615,256.0
C4035277,M,5263.16,20/8/16,213748,488.0
C4035277,M,202775.91,7/9/16,223007,150.0
C3431378,F,4067.0,6/8/16,191046,50.0
C3431378,M,36.91,25/8/16,150242,100.0
C3431378,M,5952.39,9/9/16,75934,10.0
C3431378,M,14872.79,8/9/16,144333,200.0
C3431378,F,2577.38,10/9/16,173756,449.0
C3222875,M,16511.74,22/9/16,10,330.0
C3222875,M,21976.96,9/8/16,120229,8999.0
C3222875,F,61312.82,21/8/16,231842,346.36
C3222875,F,33350.0,31/8/16,234511,1599.0
C3222875,M,3782.67,15/9/16,225507,410.0
C5823319,F,149.99,26/9/16,193704,466.0
C5823319,F,149.99,10/8/16,220718,499.0
C5823319,M,5017.13,18/8/16,175504,200.0
C5823319,M,84171.31,26/8/16,113500,93.0
C5823319,M,4801.73,29/8/16,232657,220.0
C5931586,M,32600.28,3/8/16,222535,24145.62
C5931586,F,166.67,1/8/16,192237,573.86
C5931586,M,60305.63,7/8/16,190043,4500.0
C5931586,M,55949.54,22/8/16,171530,1000.0
C5931586,M,17747.57,6/9/16,194853,101.15
C5513880,M,526.01,8/8/16,173159,2111.0
C5513880,M,28776.63,14/8/16,151820,1390.0
C5513880,M,9915.42,16/8/16,55821,899.32
C5513880,M,135109.49,19/8/16,155731,1000.0
C5513880,M,9120.6,26/8/16,201749,200.0
C3423054,F,96076.2,21/8/16,170122,365.0
C3423054,M,659.33,25/8/16,151450,1200.0
C3423054,F,14915.03,1/9/16,132547,64.0
C3423054,M,20422.78,9/9/16,183618,50.0
C3423054,M,713179.83,15/9/16,91631,705.0
C6916460,M,2861.17,6/8/16,165638,100.0
C6916460,F,119984.88,9/8/16,214914,224.0
C6916460,F,4825396.65,29/8/16,200812,5596.0
C6916460,M,135793.79,14/9/16,121949,399.76
C6916460,M,35207.22,14/9/16,184413,352.2
C2217749,F,24.42,6/8/16,91712,20.0
C2217749,F,5304.19,9/8/16,190907,1606.0
C2217749,M,4997.31,10/8/16,225748,400.0
C2217749,F,311.7,25/8/16,125129,295.0
C2217749,M,89490.9,11/9/16,134251,439.0
C1623832,M,51372.75,1/8/16,163437,350.0
C1623832,M,27576.82,15/8/16,130254,1052.0
C1623832,M,15767.5,4/9/16,181540,430.0
C1623832,M,20770.76,11/9/16,134703,350.0
C1623832,F,21145.83,18/9/16,174829,119.0
C2139974,M,13020.25,19/8/16,192605,7000.0
C2139974,F,3072.11,31/8/16,212711,701.0
C2139974,F,293.08,4/9/16,183127,12300.0
C2139974,M,31402.42,12/9/16,51646,65.0
C2139974,M,70.26,12/9/16,104349,100.0
C3638492,M,39372.32,25/9/16,201758,40.0
C3638492,M,8666.23,28/8/16,214939,830.0
C3638492,M,13894.64,2/9/16,90815,200.0
C3638492,M,16049.03,9/9/16,120703,30.0
C3638492,M,6103.01,11/9/16,144638,150.0
C6321434,M,86587.13,12/8/16,182140,6116.0
C6321434,M,9336.7,13/8/16,111805,700.0
C6321434,F,643719.49,6/9/16,163917,1870.14
C6321434,M,1275.3,5/9/16,104718,300.0
C6321434,M,11827.81,5/9/16,205147,400.0
C1027630,M,3423.57,6/8/16,141316,615.0
C1027630,F,241414.21,4/8/16,173927,70.0
C1027630,M,9398.27,9/8/16,144856,149.0
C1027630,M,24476.58,12/8/16,55348,1560.55
C1027630,F,40687.36,28/8/16,225723,300.0
C1129919,F,4538.72,3/8/16,125726,877.0
C1129919,M,675.87,1/8/16,94225,150.0
C1129919,F,36724.28,20/8/16,170535,554.0
C1129919,F,8973.62,3/9/16,91238,200.0
C1129919,M,2860.0,6/9/16,225712,45.0
C3213833,F,136.98,25/9/16,203501,600.0
C3213833,M,5963.91,4/8/16,170822,2378.0
C3213833,M,21.69,15/8/16,191616,1281.0
C3213833,M,44650.55,24/8/16,223833,3595.0
C3213833,M,3417.07,15/9/16,111949,1225.8
C1442336,M,10858.95,12/8/16,145829,150.0
C1442336,M,10858.95,11/8/16,133106,495.0
C1442336,M,17575.36,15/8/16,205403,1330.0
C1442336,M,5065.41,16/8/16,193626,50.0
C1442336,M,10031.68,16/8/16,202703,279.0
C2141582,F,1407.94,26/9/16,221145,460.0
C2141582,F,6534.2,12/8/16,92536,200.0
C2141582,M,990586.49,15/8/16,91516,2250.0
C2141582,M,11564.33,17/8/16,212927,3630.0
C2141582,F,13613.46,25/8/16,143506,900.0
C1129438,M,29889.98,11/8/16,111244,25000.0
C1129438,M,55552.27,18/8/16,112927,230.0
C1129438,F,14422.22,30/8/16,214057,2500.0
C1129438,F,10399.76,31/8/16,162152,399.0
C1129438,M,9497.45,15/9/16,154129,73.0
C4325361,M,133203.58,7/8/16,93946,100000.0
C4325361,F,13019.47,30/9/16,193433,60.0
C4325361,M,16441.25,11/8/16,155050,165.0
C4325361,M,3743220.4,1/9/16,191637,1042.21
C4325361,M,157333.33,13/9/16,94608,100000.0
C3011582,M,4273.13,26/9/16,172913,100.0
C3011582,M,6758.35,21/8/16,190156,3115.0
C3011582,M,32609.52,23/8/16,94458,220.0
C3011582,M,230.31,5/9/16,100252,600.0
C3011582,M,9784.1,8/9/16,144547,554.43
C7539839,M,34065.17,1/8/16,112913,245.0
C7539839,M,30.63,18/8/16,215026,320.0
C7539839,M,22624.04,4/9/16,184102,925.0
C7539839,M,14835.28,11/9/16,190426,277.0
C7539839,M,7567.79,11/9/16,224353,215.0
C1422931,M,103.36,5/8/16,212050,79.0
C1422931,F,22507.4,13/8/16,124745,490.0
C1422931,M,0.52,18/8/16,104907,251.0
C1422931,M,1487.85,5/9/16,151414,465.0
C1422931,M,5839.86,8/9/16,223840,37.0
C4725431,F,4552.41,15/8/16,180957,434.25
C4725431,M,387.49,18/8/16,195938,20000.0
C4725431,M,56173.39,31/8/16,180732,1940.0
C4725431,F,48083.14,6/9/16,220758,1606.5
C4725431,M,1711.11,10/9/16,91548,300.0
C1027440,M,13714.0,2/8/16,143320,5746.0
C1027440,M,10971.47,2/8/16,133226,98.0
C1027440,F,46816.86,5/9/16,61640,1000.0
C1027440,F,11178.97,9/9/16,113450,482.0
C1027440,F,84832.29,7/9/16,142450,650.0
C7118485,M,26729.69,2/8/16,210324,871.0
C7118485,M,6215.17,9/8/16,213212,837.0
C7118485,M,9745.27,31/8/16,126,39.0
C7118485,M,106541.16,30/8/16,124213,271.0
C7118485,F,42307.1,8/9/16,165717,1300.0
C8831074,M,1376.6,11/8/16,113321,358.0
C8831074,F,5759.82,18/8/16,192727,255.0
C8831074,M,158295.57,20/8/16,232845,201.0
C8831074,M,36698.55,27/8/16,182412,495.0
C8831074,M,340.3,14/9/16,202342,20000.0
C7614476,M,6061.88,14/8/16,173931,1822.5
C7614476,M,1498.85,13/8/16,183949,200.0
C7614476,M,27021.05,18/8/16,203507,1905.0
C7614476,M,138222.28,10/9/16,185957,1440.0
C7614476,M,69.82,10/9/16,52852,80.0
C2820957,M,941841.92,26/9/16,133316,137.75
C2820957,M,3282.0,17/8/16,220739,1522.0
C2820957,M,11852.63,27/8/16,82232,118.0
C2820957,M,70470.54,22/8/16,215231,9685.0
C2820957,M,1738.47,1/9/16,204139,150.0
C7823376,M,8036.35,1/8/16,143505,2799.0
C7823376,M,424.82,3/9/16,141010,3090.0
C7823376,M,32739.92,10/8/16,121651,1614.7
C7823376,M,14780.04,4/9/16,200916,1102.0
C7823376,F,7478.52,7/9/16,204159,297.0
C5531731,M,82.28,12/8/16,173444,360.0
C5531731,M,114015.27,10/8/16,180028,1298.0
C5531731,M,4480.84,29/8/16,211015,956.5
C5531731,M,48808.3,3/9/16,195904,681.0
C5531731,M,25487.5,7/9/16,193520,30.0
C4435246,F,376451.92,4/8/16,144455,50.0
C4435246,M,22289.7,17/8/16,213856,904.0
C4435246,F,7134.36,26/8/16,113716,147.0
C4435246,M,1729782.91,31/8/16,173958,571.0
C4435246,M,298998.47,15/9/16,135719,1441.0
C6432062,F,20020.29,18/8/16,202558,100.0
C6432062,M,11165.21,27/8/16,171737,1000.0
C6432062,M,12583.7,6/9/16,103521,2276.0
C6432062,M,14886.8,12/9/16,143243,554.0
C6432062,F,109360.35,15/9/16,52644,200.0
C7010828,M,375895.69,6/8/16,70508,1.0
C7010828,M,93273.54,4/8/16,102741,5000.0
C7010828,M,426725.79,8/8/16,104804,343.86
C7010828,M,26606.65,13/8/16,135347,97.0
C7010828,M,22051.3,11/9/16,91920,350.0
C6725544,M,46367.96,3/8/16,221122,320.0
C6725544,M,21146.79,4/8/16,151620,153.0
C6725544,M,15079.97,16/8/16,120417,200.0
C6725544,M,9260.19,23/8/16,221617,215.0
C6725544,F,34922.07,27/8/16,155624,198.0
C8836624,M,2078.7,10/8/16,102850,50.0
C8836624,M,5129.12,18/8/16,123547,7514.0
C8836624,M,19035.44,28/8/16,205617,10000.0
C8836624,F,19039.14,6/9/16,161334,100.0
C8836624,F,122.82,13/9/16,181102,60.0
C6018470,M,90119.59,13/8/16,101340,100.0
C6018470,M,4165.01,19/8/16,204653,550.0
C6018470,M,34350.5,29/8/16,101508,148.0
C6018470,M,7418.43,6/9/16,234231,50.0
C6018470,F,73830.14,11/9/16,83552,2671.1
C5219412,M,47289.8,1/8/16,171037,100.0
C5219412,F,196822.24,7/8/16,182638,1999.6
C5219412,M,6116.17,10/8/16,194504,200.0
C5219412,M,7603.83,1/9/16,132317,1000.0
C5219412,M,11227.27,12/9/16,195228,200.0
C8024043,F,10924.53,11/8/16,153135,535.2
C8024043,F,954695.64,30/8/16,85603,4948.0
C8024043,M,9189.96,30/8/16,95221,200.0
C8024043,M,4167.54,12/9/16,155026,650.0
C8024043,M,6.99,15/9/16,233233,300.0
C5515949,M,68206.03,25/9/16,185713,259.0
C5515949,F,104.75,8/8/16,211954,1020.0
C5515949,M,4201.24,14/8/16,185158,1237.5
C5515949,M,7418.84,18/8/16,135055,200.0
C5515949,F,89715.65,14/9/16,152514,500.0
C8240878,M,,22/9/16,120330,50.0
C8240878,M,69365.0,30/9/16,211726,144.0
C8240878,M,13.0,23/8/16,114026,30.0
C8240878,F,641108.37,26/8/16,215956,785.25
C8240878,M,13556.64,11/9/16,222211,2605.0
C4423450,F,34477.05,25/8/16,210806,295.0
C4423450,F,16213.85,2/9/16,121053,3206.88
