"CustomerID,CustGender,CustAccountBalance,TransactionDateTime",User_Profile,Age,Gender,Marital_Status,Income_Level,Education_Level,Occupation,Residential_Status,Dependents,Debt_to_Income,Credit_Bureau_Score,Credit_History,Recent_Personal_Loan_Inquiry_6M,Recent_Credit_Card_Inquiry_6M,Recent_Mortgage_Inquiry_6M,Recent_Personal_Loan_Inquiry_1Y,Recent_Credit_Card_Inquiry_1Y,Recent_Mortgage_Inquiry_1Y
"C1022991,F,16333.48,2016-08-17 20:50:31",Self-Employed,27,Male,Widowed,Low,High School,Social researcher,Own,3,0.28,477.0,Good,True,True,True,False,True,False
"C1023885,M,24478.95,2016-09-14 23:11:05",Self-Employed,52,Female,Single,Medium,College,Arts development officer,Own,5,0.14,406.0,Moderate,False,True,True,False,True,False
"C1025438,M,442.56,2016-09-14 10:03:06",Young Professional,36,Female,Divorced,High,College,Statistician,Rent,4,0.35,519.0,Moderate,True,True,False,True,True,False
"C1026833,M,33193.87,2016-09-06 20:13:08",Retired,22,Male,Divorced,High,University,Diagnostic radiographer,Rent,0,0.25,676.0,Bad,True,True,True,True,True,True
"C1027440,F,11178.97,2016-09-09 11:34:50",Young Professional,46,Female,Married,High,University,Fine artist,Own,5,0.48,786.0,Moderate,False,True,True,False,True,True
"C1027630,F,40687.36,2016-08-28 22:57:23",Young Professional,64,Male,Widowed,Medium,University,"Exhibitions officer, museum/gallery",Rent,2,0.29,572.0,Good,True,False,False,True,True,True
"C1028463,M,2330746.03,2016-09-18 14:11:28",Self-Employed,48,Male,Single,Medium,University,Wellsite geologist,Own,2,0.29,663.0,Moderate,True,False,True,True,False,True
"C1028540,M,2093332.21,2016-09-10 19:16:49",Young Professional,43,Female,Married,High,High School,Commercial/residential surveyor,Own,0,0.16,472.0,Good,False,False,True,True,False,False
"C1031079,M,27894.4,2016-09-06 23:20:07",Retired,67,Female,Widowed,Medium,College,Merchant navy officer,Own,2,0.21,657.0,Good,False,True,True,True,True,True
"C1033711,M,29225.01,2016-09-11 20:20:40",Retired,61,Female,Divorced,Low,High School,Air cabin crew,Rent,5,0.46,724.0,Bad,True,True,False,False,False,True
"C1034937,M,2253.87,2016-09-14 21:08:28",Student,24,Male,Single,Low,University,Medical secretary,Own,3,0.26,751.0,Bad,False,False,True,False,True,False
"C1036122,M,64166.72,2016-09-13 17:20:37",Retired,42,Male,Married,Medium,High School,Chartered management accountant,Rent,3,0.38,811.0,Moderate,False,False,True,False,False,True
"C1036336,M,20982.87,2016-09-25 20:09:40",Young Professional,66,Male,Widowed,Low,University,"Psychotherapist, dance movement",Rent,3,0.16,557.0,Good,False,True,False,True,False,False
"C1038492,M,2817.16,2016-09-09 13:22:13",Retired,22,Female,Divorced,Medium,College,Computer games developer,Own,2,0.1,841.0,Moderate,True,True,False,True,False,True
"C1038937,M,337958.85,2016-08-21 12:07:51",Retired,39,Female,Widowed,High,College,Furniture conservator/restorer,Own,2,0.47,719.0,Good,False,True,False,False,False,True
"C1039823,M,9456.14,2016-09-26 15:08:55",Young Professional,31,Male,Single,Medium,University,"Producer, radio",Rent,1,0.15,714.0,Moderate,False,False,True,False,True,True
"C1041651,M,4856.88,2016-09-12 21:02:13",Young Professional,41,Male,Divorced,High,College,"Lecturer, further education",Own,0,0.23,510.0,Bad,True,False,True,True,True,True
"C1110530,M,841.34,2016-10-21 15:22:48",Self-Employed,35,Female,Single,High,High School,Building surveyor,Own,2,0.19,636.0,Bad,True,False,True,False,False,True
"C1110589,M,23514.41,2016-09-18 15:30:27",Retired,30,Male,Married,Low,High School,Community arts worker,Own,2,0.36,305.0,Good,True,True,False,False,False,False
"C1110852,F,168217.12,2016-09-04 21:05:58",Self-Employed,64,Female,Married,Low,College,"Therapist, occupational",Rent,4,0.46,426.0,Good,True,True,True,True,True,True
"C1112774,M,8764.42,2016-09-02 18:38:11",Student,60,Female,Divorced,High,College,Materials engineer,Rent,1,0.26,531.0,Bad,False,False,True,False,False,True
"C1113684,M,214567.77,2016-09-01 11:43:14",Retired,31,Male,Married,High,University,"Librarian, academic",Rent,1,0.15,461.0,Good,True,False,True,False,True,False
"C1115218,M,466505.92,2016-09-25 18:43:03",Retired,65,Male,Single,High,High School,"Nurse, children's",Rent,2,0.32,557.0,Moderate,False,True,False,False,True,True
"C1115874,M,17.1,2016-09-06 21:39:56",Retired,66,Female,Married,High,High School,Leisure centre manager,Own,5,0.3,544.0,Bad,False,True,False,False,False,False
"C1117759,M,12768.92,2016-09-26 12:40:08",Self-Employed,44,Male,Divorced,Medium,College,Sports development officer,Rent,2,0.5,692.0,Bad,True,False,True,True,True,True
"C1119249,M,6520.75,2016-09-08 16:56:25",Self-Employed,24,Female,Widowed,Medium,University,Risk manager,Rent,0,0.48,357.0,Good,False,False,True,True,False,False
"C1122374,M,333998.05,2016-09-02 22:36:49",Retired,28,Female,Married,Low,University,Armed forces operational officer,Rent,5,0.25,832.0,Good,True,True,False,True,True,True
"C1123122,M,49961.81,2016-09-14 14:12:04",Retired,30,Male,Single,Low,High School,Building services engineer,Own,4,0.2,567.0,Moderate,True,False,False,True,False,True
"C1123185,M,29303.07,2016-09-27 18:08:23",Retired,46,Male,Widowed,High,College,Brewing technologist,Rent,5,0.13,370.0,Moderate,False,False,False,False,True,False
"C1123381,M,2903.7,2016-09-12 16:39:45",Retired,59,Female,Married,High,University,IT trainer,Rent,3,0.26,787.0,Bad,False,False,True,False,True,False
"C1124762,M,1014.8,2016-09-08 22:00:48",Self-Employed,27,Male,Divorced,Low,College,Ambulance person,Rent,1,0.32,693.0,Moderate,True,False,True,True,True,True
"C1129255,M,3467.76,2016-09-07 10:05:48",Self-Employed,52,Female,Single,Low,University,Comptroller,Own,4,0.12,351.0,Moderate,False,True,False,False,True,True
"C1129438,M,9497.45,2016-09-15 15:41:29",Young Professional,67,Male,Divorced,Low,University,Analytical chemist,Own,5,0.18,734.0,Good,False,True,False,False,True,False
"C1129919,M,2860.0,2016-09-06 22:57:12",Student,55,Female,Married,Low,High School,"Designer, jewellery",Own,5,0.43,399.0,Good,True,True,False,False,False,False
"C1130052,F,34338.75,2016-09-04 20:11:08",Retired,57,Female,Widowed,Medium,College,Public librarian,Own,3,0.18,779.0,Bad,False,True,True,True,True,True
"C1131076,M,159.31,2016-09-14 20:12:52",Retired,26,Female,Widowed,Low,University,"Engineer, aeronautical",Rent,0,0.37,633.0,Moderate,True,False,False,True,True,True
"C1131421,M,39720.15,2016-09-15 21:21:55",Student,26,Male,Married,Low,University,Town planner,Rent,5,0.43,576.0,Moderate,True,False,True,True,True,False
"C1132550,M,24537.81,2016-09-14 09:13:06",Student,39,Male,Divorced,Medium,High School,Land,Rent,0,0.21,711.0,Good,False,True,False,True,False,False
"C1132552,M,113527.43,2016-09-14 12:12:13",Young Professional,53,Female,Widowed,Medium,University,Insurance account manager,Own,4,0.48,310.0,Good,True,False,True,False,False,True
"C1134173,M,18070.28,2016-09-22 13:42:46",Young Professional,62,Female,Divorced,High,University,Ambulance person,Own,5,0.38,720.0,Moderate,True,True,False,True,True,True
"C1136172,M,77354.93,2016-09-11 15:06:21",Young Professional,61,Female,Married,Low,College,IT trainer,Own,2,0.14,801.0,Bad,True,True,True,True,False,True
"C1136378,M,7268.84,2016-09-10 10:54:49",Young Professional,49,Male,Divorced,Low,College,"Teacher, English as a foreign language",Rent,1,0.38,557.0,Moderate,False,False,True,True,False,False
"C1140685,M,3092.06,2016-09-13 09:55:41",Young Professional,31,Male,Divorced,Medium,High School,Air traffic controller,Rent,0,0.39,846.0,Good,True,True,False,True,True,False
"C1141618,F,34506.18,2016-09-11 18:14:17",Young Professional,68,Female,Widowed,Medium,College,Public relations officer,Own,1,0.23,709.0,Moderate,True,True,True,True,False,True
"C1217191,F,36167.85,2016-09-14 13:45:03",Retired,40,Female,Single,Low,College,"Administrator, arts",Own,3,0.15,403.0,Moderate,False,False,True,True,True,False
"C1218068,M,11265.86,2016-09-07 12:03:57",Retired,70,Female,Single,Medium,College,Retail manager,Rent,3,0.27,506.0,Bad,False,True,False,True,True,False
"C1221123,M,8896.81,2016-09-27 22:29:08",Student,40,Female,Single,Low,High School,Interpreter,Own,4,0.49,533.0,Bad,False,False,True,True,False,False
"C1222224,F,20728.26,2016-09-12 14:05:29",Retired,39,Female,Married,Low,College,Waste management officer,Own,3,0.22,480.0,Good,False,True,True,True,True,False
"C1222230,M,11375.96,2016-09-10 08:53:51",Self-Employed,27,Male,Widowed,High,University,Accounting technician,Own,4,0.22,688.0,Moderate,True,True,True,False,False,True
"C1223441,M,19398.39,2016-09-26 22:40:48",Retired,48,Female,Widowed,Low,University,Information officer,Rent,5,0.17,602.0,Good,False,True,True,False,False,False
"C1224419,F,6776.12,2016-09-10 19:59:40",Retired,41,Female,Divorced,High,University,Research scientist (medical),Rent,3,0.49,434.0,Moderate,False,False,False,False,True,True
"C1225066,M,10778.92,2016-09-15 23:21:03",Retired,55,Male,Single,Low,University,"Chemist, analytical",Own,5,0.41,683.0,Good,False,False,True,False,True,True
"C1225491,M,12821.16,2016-09-09 23:07:00",Self-Employed,22,Male,Married,High,High School,"Surveyor, quantity",Rent,5,0.36,804.0,Moderate,True,True,False,True,False,True
"C1231331,F,1709.98,2016-09-13 17:54:22",Young Professional,56,Female,Single,High,University,Network engineer,Rent,3,0.28,385.0,Moderate,True,True,True,True,False,True
"C1231491,M,13592.65,2016-09-13 12:03:25",Self-Employed,36,Female,Single,Low,High School,Therapeutic radiographer,Own,0,0.11,443.0,Good,True,False,False,True,False,False
"C1231943,M,75289.08,2016-09-10 11:50:46",Young Professional,21,Female,Widowed,High,College,Museum/gallery curator,Own,4,0.21,583.0,Moderate,False,False,True,True,True,False
"C1236032,M,106325.35,2016-09-04 17:28:53",Young Professional,54,Female,Single,Medium,High School,Recruitment consultant,Own,1,0.48,742.0,Good,False,True,True,True,True,False
"C1237283,F,23670.45,2016-09-18 12:14:54",Student,51,Female,Widowed,Low,High School,Furniture conservator/restorer,Own,2,0.3,701.0,Bad,True,False,True,False,True,False
"C1237883,M,16377.92,2016-09-01 15:23:57",Self-Employed,31,Male,Widowed,High,College,Data processing manager,Own,4,0.26,800.0,Good,True,True,False,False,True,False
"C1238684,F,12335.92,2016-09-12 21:03:09",Student,32,Male,Married,Low,High School,"Biochemist, clinical",Own,2,0.29,709.0,Moderate,True,True,False,True,True,True
"C1238948,M,34488.3,2016-09-14 16:03:23",Retired,38,Female,Divorced,Low,College,Insurance account manager,Rent,0,0.16,591.0,Good,True,True,False,False,False,True
"C1239173,M,799274.48,2016-08-27 15:58:00",Young Professional,42,Female,Single,Medium,High School,IT trainer,Rent,4,0.46,613.0,Good,False,True,False,False,False,True
"C1239763,F,596.95,2016-09-08 18:28:33",Student,29,Female,Divorced,Low,College,"Social research officer, government",Rent,4,0.47,539.0,Moderate,False,False,False,True,True,True
"C1310186,F,13315.44,2016-09-12 14:18:29",Retired,21,Male,Single,High,College,Animal nutritionist,Rent,5,0.22,705.0,Good,True,True,True,False,False,True
"C1315336,M,9237.03,2016-08-30 18:07:03",Retired,62,Male,Single,High,High School,Broadcast engineer,Rent,4,0.35,576.0,Moderate,True,True,True,False,True,True
"C1315392,F,209.61,2016-09-07 16:31:16",Retired,24,Female,Single,Medium,High School,"Engineer, mining",Rent,2,0.3,486.0,Good,True,True,False,True,False,True
"C1315865,M,23457.71,2016-09-04 20:51:15",Self-Employed,38,Male,Married,Low,University,Museum/gallery conservator,Own,2,0.39,362.0,Bad,False,True,False,False,False,False
"C1316239,M,51755.16,2016-09-13 14:22:37",Young Professional,54,Female,Married,Low,High School,"Scientist, research (physical sciences)",Rent,0,0.23,326.0,Moderate,True,False,True,True,False,True
"C1318042,F,1202.93,2016-09-11 13:02:59",Self-Employed,29,Male,Married,Low,High School,Risk analyst,Rent,1,0.29,825.0,Good,True,False,True,False,False,True
"C1318468,F,4938.61,2016-09-11 21:44:25",Young Professional,53,Male,Divorced,Medium,University,Banker,Own,1,0.3,380.0,Good,True,True,False,False,True,False
"C1318554,M,2025.49,2016-09-10 19:49:03",Self-Employed,49,Female,Widowed,High,College,Chief Technology Officer,Own,0,0.27,435.0,Bad,True,True,False,True,True,False
"C1320312,M,970385.73,2016-09-18 14:27:56",Retired,27,Female,Single,Medium,High School,Technical sales engineer,Own,1,0.37,727.0,Moderate,True,True,False,True,True,True
"C1323029,M,22916.85,2016-09-11 17:53:55",Retired,33,Male,Single,Medium,University,Agricultural consultant,Own,2,0.19,800.0,Moderate,True,False,True,False,True,False
"C1323279,M,6510.76,2016-09-02 07:48:43",Self-Employed,22,Female,Married,Low,High School,Neurosurgeon,Own,5,0.15,417.0,Good,True,True,False,True,False,True
"C1324324,M,506206.82,2016-08-14 21:54:25",Young Professional,31,Male,Single,Low,College,Product/process development scientist,Own,5,0.31,381.0,Bad,False,True,False,False,False,True
"C1324691,M,11709.33,2016-08-28 20:34:03",Young Professional,60,Female,Single,Medium,College,Print production planner,Rent,5,0.36,563.0,Moderate,False,False,False,True,False,True
"C1328491,M,1852.02,2016-09-05 15:09:13",Retired,69,Female,Widowed,High,High School,Market researcher,Own,4,0.39,655.0,Moderate,False,True,True,True,True,False
"C1330735,M,232743.39,2016-09-10 13:31:54",Young Professional,25,Female,Divorced,Medium,University,"Presenter, broadcasting",Own,3,0.35,438.0,Good,False,False,False,False,False,True
"C1333940,M,3076.87,2016-09-12 17:33:13",Self-Employed,37,Female,Widowed,High,University,"Administrator, local government",Rent,0,0.45,462.0,Moderate,False,True,True,True,True,True
"C1334560,F,44899.72,2016-08-30 21:39:17",Self-Employed,58,Male,Single,Medium,University,"Education officer, community",Own,4,0.26,665.0,Bad,True,True,False,False,False,False
"C1335713,M,36.17,2016-09-04 10:36:57",Young Professional,63,Male,Widowed,Medium,High School,Insurance claims handler,Rent,4,0.42,696.0,Bad,False,False,False,False,False,False
"C1336073,F,332575.9,2016-09-03 13:12:32",Self-Employed,65,Male,Single,Medium,High School,Technical brewer,Own,5,0.49,344.0,Moderate,False,False,False,True,True,False
"C1336311,F,10492.67,2016-09-05 18:19:24",Student,33,Female,Married,High,High School,Contracting civil engineer,Rent,1,0.2,569.0,Good,True,False,False,False,False,True
"C1337483,M,2576.61,2016-09-26 22:11:06",Self-Employed,25,Female,Divorced,Low,University,Hospital doctor,Own,1,0.36,742.0,Moderate,True,False,False,False,False,True
"C1337662,F,153761.95,2016-09-08 19:24:48",Self-Employed,55,Female,Single,Medium,University,Publishing copy,Own,4,0.34,428.0,Good,True,False,True,False,True,False
"C1410744,M,7478.56,2016-09-09 18:06:57",Self-Employed,63,Male,Divorced,High,University,"Social research officer, government",Rent,1,0.47,328.0,Moderate,False,True,True,True,True,False
"C1412216,M,15014.34,2016-09-10 14:04:04",Young Professional,25,Male,Single,High,High School,Illustrator,Rent,3,0.18,497.0,Bad,False,False,False,True,True,True
"C1412657,M,19.15,2016-08-28 13:27:44",Retired,47,Female,Single,Low,High School,Occupational hygienist,Rent,4,0.18,442.0,Moderate,False,False,False,True,True,True
"C1413587,M,334906.67,2016-09-14 14:26:32",Self-Employed,60,Female,Widowed,Medium,University,"Solicitor, Scotland",Own,0,0.25,530.0,Bad,False,True,True,False,True,True
"C1413845,F,35264.81,2016-09-15 19:39:15",Retired,58,Female,Single,Low,High School,"Secretary, company",Own,3,0.47,633.0,Moderate,True,False,True,False,False,True
"C1415649,M,113531.41,2016-09-23 20:43:57",Retired,41,Female,Divorced,Low,University,"Designer, textile",Own,4,0.26,419.0,Bad,True,True,True,False,True,True
"C1417387,M,18655.92,2016-09-13 17:17:23",Student,69,Male,Widowed,Low,High School,Theme park manager,Rent,3,0.41,808.0,Bad,False,False,True,True,False,False
"C1417722,M,21255.48,2016-09-25 20:29:49",Young Professional,32,Male,Single,Low,University,Office manager,Rent,5,0.1,356.0,Bad,False,True,True,False,False,False
"C1417851,M,565061.37,2016-09-15 07:49:14",Young Professional,29,Male,Married,Medium,College,Cartographer,Own,1,0.28,630.0,Good,True,True,False,True,False,True
"C1418821,M,5393.9,2016-09-08 20:26:44",Student,36,Male,Single,High,University,Building surveyor,Own,3,0.29,688.0,Good,True,False,True,True,True,True
"C1418941,M,0.0,2016-09-26 20:21:27",Retired,39,Female,Widowed,Low,University,Visual merchandiser,Rent,3,0.12,341.0,Good,False,True,True,True,False,True
"C1420159,M,100672.26,2016-09-15 22:44:38",Retired,54,Male,Divorced,Low,University,"Psychologist, clinical",Own,4,0.14,839.0,Good,False,True,True,True,True,True
"C1422287,M,1948.13,2016-09-13 11:22:56",Student,64,Male,Married,High,High School,Social worker,Own,5,0.29,446.0,Good,False,True,False,True,False,False
"C1422931,M,5839.86,2016-09-08 22:38:40",Self-Employed,65,Female,Married,Low,High School,"Nurse, mental health",Own,0,0.47,365.0,Bad,False,True,False,True,False,False
"C1429850,M,7.01,2016-09-13 18:53:39",Self-Employed,66,Female,Married,Low,College,"Merchandiser, retail",Own,2,0.4,503.0,Moderate,True,False,True,False,True,True
"C1430466,F,13343.55,2016-09-09 10:00:47",Young Professional,69,Male,Single,Low,High School,Advice worker,Own,4,0.41,546.0,Good,False,False,False,True,False,False
"C1431618,F,48949.8,2016-09-26 21:53:34",Self-Employed,27,Male,Widowed,High,High School,"Pilot, airline",Own,1,0.38,629.0,Moderate,True,False,True,False,True,False
"C1434659,F,288700.72,2016-09-14 11:10:22",Retired,20,Male,Single,Low,University,Fitness centre manager,Own,0,0.14,562.0,Moderate,False,False,False,False,True,True
"C1434678,M,8681.41,2016-09-18 19:13:51",Retired,54,Female,Divorced,Medium,College,"Surveyor, building control",Own,2,0.42,496.0,Bad,True,True,False,False,False,True
"C1438076,M,1558.17,2016-09-10 04:49:33",Student,55,Male,Married,Low,College,"Engineer, technical sales",Own,1,0.41,702.0,Good,False,True,True,False,True,False
"C1438091,F,23475.77,2016-09-18 16:20:29",Young Professional,45,Male,Married,High,College,Human resources officer,Rent,0,0.11,365.0,Bad,True,False,False,False,False,True
"C1440911,F,1607.43,2016-09-08 17:22:18",Young Professional,23,Female,Divorced,Medium,High School,Furniture designer,Own,2,0.26,565.0,Bad,True,True,False,True,True,False
"C1442336,M,10031.68,2016-08-16 20:27:03",Self-Employed,52,Female,Widowed,Low,High School,Jewellery designer,Rent,1,0.35,609.0,Moderate,False,True,True,False,True,False
"C1510917,M,13524.14,2016-09-04 18:20:31",Young Professional,42,Female,Widowed,Medium,University,"Surveyor, commercial/residential",Own,5,0.46,332.0,Moderate,True,False,True,False,False,True
"C1511820,M,66131.05,2016-09-11 12:40:30",Self-Employed,34,Male,Divorced,High,College,Web designer,Rent,1,0.41,590.0,Bad,False,True,False,True,True,False
"C1513171,M,39513.66,2016-08-31 17:09:03",Student,37,Female,Widowed,Low,University,Mudlogger,Rent,2,0.41,426.0,Moderate,True,True,True,False,True,True
"C1515158,M,71.84,2016-09-14 12:58:01",Retired,41,Female,Divorced,High,University,Psychiatric nurse,Own,5,0.4,476.0,Good,True,False,True,False,False,True
"C1520554,M,2.25,2016-09-04 07:59:48",Retired,35,Male,Widowed,Medium,College,Food technologist,Rent,4,0.11,545.0,Bad,True,False,True,False,True,True
"C1520665,M,42221.39,2016-09-04 21:06:33",Young Professional,41,Male,Married,High,High School,Fitness centre manager,Rent,2,0.19,730.0,Good,False,True,True,True,False,True
"C1521588,M,12200.63,2016-09-09 15:11:40",Self-Employed,45,Female,Widowed,High,High School,Armed forces operational officer,Rent,2,0.45,798.0,Good,True,True,False,True,False,True
"C1522855,M,12064.16,2016-09-06 14:17:38",Student,26,Female,Widowed,Low,University,Dentist,Rent,1,0.46,758.0,Moderate,True,True,True,False,True,False
"C1525085,M,14214.67,2016-09-15 03:11:20",Student,44,Male,Divorced,High,College,Academic librarian,Own,4,0.24,766.0,Bad,False,False,True,True,False,True
"C1525162,M,16003.61,2016-09-06 19:38:39",Young Professional,22,Male,Single,Medium,University,"Scientist, research (physical sciences)",Rent,0,0.34,674.0,Good,False,True,True,True,False,True
"C1530129,M,448.01,2016-09-15 14:12:47",Student,30,Male,Married,Low,University,"Surveyor, rural practice",Own,0,0.13,651.0,Moderate,True,True,True,True,True,True
"C1531362,F,13123.38,2016-09-26 23:50:11",Retired,53,Male,Widowed,Low,High School,Camera operator,Own,5,0.15,345.0,Bad,True,True,True,False,False,False
"C1533067,M,2559.33,2016-10-21 21:12:37",Young Professional,63,Male,Single,Low,College,Diplomatic Services operational officer,Own,5,0.25,315.0,Moderate,True,True,False,False,True,True
"C1533452,F,184873.61,2016-09-18 19:28:19",Student,40,Female,Divorced,High,High School,Comptroller,Own,0,0.32,359.0,Bad,True,True,True,False,False,True
"C1533638,F,3221.63,2016-09-13 20:13:57",Student,26,Male,Widowed,Medium,University,Insurance risk surveyor,Own,4,0.37,733.0,Good,False,False,False,True,False,False
"C1539855,F,12700.0,2016-09-18 13:24:06",Young Professional,68,Female,Single,High,High School,"Administrator, charities/voluntary organisations",Rent,3,0.13,545.0,Moderate,False,True,True,True,False,True
"C1541363,M,6633.25,2016-09-01 08:02:09",Young Professional,31,Female,Single,Low,University,Stage manager,Rent,3,0.16,755.0,Bad,True,True,True,False,False,True
"C1611691,F,193661.08,2016-09-26 20:18:56",Self-Employed,69,Female,Married,High,High School,English as a foreign language teacher,Own,0,0.27,778.0,Good,True,True,False,True,True,False
"C1613577,M,110.19,2016-08-29 10:05:36",Student,44,Male,Divorced,High,High School,Manufacturing systems engineer,Own,0,0.11,588.0,Moderate,False,True,False,False,True,True
"C1615328,F,137.75,2016-08-25 18:40:17",Young Professional,20,Female,Widowed,Low,College,"Engineer, chemical",Own,5,0.27,805.0,Good,False,False,True,True,False,True
"C1616236,M,7018.83,2016-09-07 20:45:43",Young Professional,28,Male,Divorced,Medium,High School,"Development worker, international aid",Rent,5,0.11,712.0,Moderate,True,False,True,False,False,True
"C1619643,F,58152.12,2016-09-11 08:05:26",Retired,58,Female,Single,Low,University,Production engineer,Rent,0,0.26,429.0,Bad,False,False,True,True,True,False
"C1619776,F,104183.84,2016-09-01 19:52:58",Student,22,Male,Widowed,Medium,College,Fisheries officer,Own,5,0.38,434.0,Moderate,False,True,False,True,False,False
"C1619852,M,10350.53,2016-09-10 19:44:39",Student,44,Male,Divorced,Low,University,"Therapist, occupational",Rent,0,0.46,693.0,Good,True,False,False,True,False,False
"C1621015,M,12306.73,2016-09-27 15:20:07",Self-Employed,39,Male,Single,Medium,College,Personal assistant,Rent,2,0.3,755.0,Good,True,True,True,True,False,False
"C1621541,M,74957.09,2016-08-24 22:00:04",Retired,51,Male,Married,Medium,University,Dancer,Rent,0,0.28,335.0,Bad,False,False,False,False,True,False
"C1621560,M,24920.67,2016-09-26 15:08:33",Self-Employed,66,Female,Widowed,Low,College,"Radiographer, therapeutic",Own,1,0.22,661.0,Good,False,False,True,True,False,True
"C1623832,F,21145.83,2016-09-18 17:48:29",Retired,50,Male,Divorced,Medium,College,Financial planner,Rent,3,0.22,751.0,Good,False,True,False,False,True,True
"C1623947,M,14408.19,2016-09-13 19:02:47",Young Professional,64,Female,Divorced,High,College,Contractor,Own,1,0.33,678.0,Bad,False,True,True,False,False,True
"C1623972,M,434681.96,2016-09-11 20:56:11",Self-Employed,53,Female,Widowed,High,College,"Conservation officer, nature",Rent,2,0.1,449.0,Moderate,False,True,True,True,True,True
"C1624256,M,42918.44,2016-09-14 12:59:35",Student,50,Female,Widowed,Medium,University,"Librarian, academic",Rent,4,0.16,526.0,Bad,True,False,True,True,True,True
"C1624319,F,160.98,2016-09-02 11:20:40",Student,45,Female,Divorced,Low,High School,"Engineer, materials",Rent,4,0.2,304.0,Good,False,True,False,False,True,True
"C1625247,M,22771.72,2016-09-12 16:58:59",Retired,45,Female,Married,Medium,University,"Biochemist, clinical",Own,5,0.38,577.0,Bad,False,False,True,False,False,True
"C1625839,M,13829.08,2016-08-31 22:04:39",Retired,36,Female,Married,High,College,Industrial/product designer,Own,0,0.33,554.0,Bad,True,True,False,False,False,False
"C1626155,M,23985.4,2016-09-15 14:41:04",Self-Employed,46,Female,Widowed,High,High School,Energy engineer,Rent,1,0.43,690.0,Good,False,False,True,True,False,True
"C1629235,M,27896.49,2016-08-19 19:04:20",Retired,22,Male,Single,High,College,"Designer, graphic",Own,2,0.27,526.0,Bad,True,False,False,False,False,False
"C1629287,M,14523.43,2016-09-18 10:29:05",Retired,63,Male,Single,Low,University,"Journalist, magazine",Rent,4,0.12,743.0,Bad,True,False,True,False,False,True
"C1629981,F,16897.95,2016-09-08 14:04:56",Student,53,Female,Widowed,Low,College,Glass blower/designer,Rent,4,0.19,367.0,Moderate,False,False,False,True,True,False
"C1630643,F,5713.62,2016-09-15 20:25:52",Student,59,Female,Divorced,High,University,Agricultural engineer,Own,0,0.46,849.0,Bad,True,False,False,True,False,True
"C1632166,F,127588.59,2016-08-27 16:58:25",Self-Employed,29,Female,Widowed,Low,University,"Engineer, energy",Own,1,0.37,795.0,Bad,True,True,True,False,True,False
"C1632429,M,30455.92,2016-08-28 16:32:01",Young Professional,26,Male,Single,High,College,Visual merchandiser,Own,0,0.36,365.0,Bad,True,False,False,False,True,False
