,"CustomerID,CustGender,CustAccountBalance,TransactionDateTime,User_Profile,Age,Gender,Marital_Status,Income_Level,Education_Level,Occupation,Residential_Status,Dependents,Debt_to_Income,Credit_Bureau_Score,Credit_History,Recent_Personal_Loan_Inquiry_6M,Recent_Credit_Card_Inquiry_6M,Recent_Mortgage_Inquiry_6M,Recent_Personal_Loan_Inquiry_1Y,Recent_Credit_Card_Inquiry_1Y,Recent_Mortgage_Inquiry_1Y,servicesUsed",queryFormat
10,"C1020584,F,14847.13,2016-09-12 14:55:57,Self-Employed,47,Male,Single,Low,College,""Administrator, arts"",Rent,4,0.1,613.0,Good,True,True,True,True,False,True,""Signature Cheque Protection, Conventional Mortgage, Vehicle Loan""","Based on the following customer data: {'CustomerID,CustGender,CustAccountBalance,TransactionDateTime,User_Profile,Age,Gender,Marital_Status,Income_Level,Education_Level,Occupation,Residential_Status,Dependents,Debt_to_Income,Credit_Bureau_Score,Credit_History,Recent_Personal_Loan_Inquiry_6M,Recent_Credit_Card_Inquiry_6M,Recent_Mortgage_Inquiry_6M,Recent_Personal_Loan_Inquiry_1Y,Recent_Credit_Card_Inquiry_1Y,Recent_Mortgage_Inquiry_1Y,servicesUsed': 'C1020584,F,14847.13,2016-09-12 14:55:57,Self-Employed,47,Male,Single,Low,College,""Administrator, arts"",Rent,4,0.1,613.0,Good,True,True,True,True,False,True,""Signature Cheque Protection, Conventional Mortgage, Vehicle Loan""'}, suggest suitable banking lending products"
11,"C1022588,M,156763.29,2016-09-07 10:47:44,Self-Employed,70,Female,Divorced,High,High School,Freight forwarder,Rent,4,0.13,662.0,Good,True,True,True,True,True,False,""Adjustable-Rate Mortgage, NextGen Tech Fund, Balloon Mortgage""","Based on the following customer data: {'CustomerID,CustGender,CustAccountBalance,TransactionDateTime,User_Profile,Age,Gender,Marital_Status,Income_Level,Education_Level,Occupation,Residential_Status,Dependents,Debt_to_Income,Credit_Bureau_Score,Credit_History,Recent_Personal_Loan_Inquiry_6M,Recent_Credit_Card_Inquiry_6M,Recent_Mortgage_Inquiry_6M,Recent_Personal_Loan_Inquiry_1Y,Recent_Credit_Card_Inquiry_1Y,Recent_Mortgage_Inquiry_1Y,servicesUsed': 'C1022588,M,156763.29,2016-09-07 10:47:44,Self-Employed,70,Female,Divorced,High,High School,Freight forwarder,Rent,4,0.13,662.0,Good,True,True,True,True,True,False,""Adjustable-Rate Mortgage, NextGen Tech Fund, Balloon Mortgage""'}, suggest suitable banking lending products"
12,"C1022861,M,50428.62,2016-09-10 21:58:25,Student,55,Male,Divorced,Medium,University,""Doctor, hospital"",Rent,4,0.41,795.0,Moderate,True,False,False,False,True,True,""Online Shopping Card, Crypto-Linked Debit Card, Jumbo Mortgage, USDA Loan""","Based on the following customer data: {'CustomerID,CustGender,CustAccountBalance,TransactionDateTime,User_Profile,Age,Gender,Marital_Status,Income_Level,Education_Level,Occupation,Residential_Status,Dependents,Debt_to_Income,Credit_Bureau_Score,Credit_History,Recent_Personal_Loan_Inquiry_6M,Recent_Credit_Card_Inquiry_6M,Recent_Mortgage_Inquiry_6M,Recent_Personal_Loan_Inquiry_1Y,Recent_Credit_Card_Inquiry_1Y,Recent_Mortgage_Inquiry_1Y,servicesUsed': 'C1022861,M,50428.62,2016-09-10 21:58:25,Student,55,Male,Divorced,Medium,University,""Doctor, hospital"",Rent,4,0.41,795.0,Moderate,True,False,False,False,True,True,""Online Shopping Card, Crypto-Linked Debit Card, Jumbo Mortgage, USDA Loan""'}, suggest suitable banking lending products"
13,"C1022991,F,16333.48,2016-08-17 20:50:31,Self-Employed,27,Male,Widowed,Low,High School,Social researcher,Own,3,0.28,477.0,Good,True,True,True,False,True,False,""Vehicle Loan, Infinity Capital Smart ULIP, Global Remit Express""","Based on the following customer data: {'CustomerID,CustGender,CustAccountBalance,TransactionDateTime,User_Profile,Age,Gender,Marital_Status,Income_Level,Education_Level,Occupation,Residential_Status,Dependents,Debt_to_Income,Credit_Bureau_Score,Credit_History,Recent_Personal_Loan_Inquiry_6M,Recent_Credit_Card_Inquiry_6M,Recent_Mortgage_Inquiry_6M,Recent_Personal_Loan_Inquiry_1Y,Recent_Credit_Card_Inquiry_1Y,Recent_Mortgage_Inquiry_1Y,servicesUsed': 'C1022991,F,16333.48,2016-08-17 20:50:31,Self-Employed,27,Male,Widowed,Low,High School,Social researcher,Own,3,0.28,477.0,Good,True,True,True,False,True,False,""Vehicle Loan, Infinity Capital Smart ULIP, Global Remit Express""'}, suggest suitable banking lending products"
14,"C1023885,M,24478.95,2016-09-14 23:11:05,Self-Employed,52,Female,Single,Medium,College,Arts development officer,Own,5,0.14,406.0,Moderate,False,True,True,False,True,False,""Online Shopping Card, Millennial SIP Booster, Classic Debit Card, Balloon Mortgage""","Based on the following customer data: {'CustomerID,CustGender,CustAccountBalance,TransactionDateTime,User_Profile,Age,Gender,Marital_Status,Income_Level,Education_Level,Occupation,Residential_Status,Dependents,Debt_to_Income,Credit_Bureau_Score,Credit_History,Recent_Personal_Loan_Inquiry_6M,Recent_Credit_Card_Inquiry_6M,Recent_Mortgage_Inquiry_6M,Recent_Personal_Loan_Inquiry_1Y,Recent_Credit_Card_Inquiry_1Y,Recent_Mortgage_Inquiry_1Y,servicesUsed': 'C1023885,M,24478.95,2016-09-14 23:11:05,Self-Employed,52,Female,Single,Medium,College,Arts development officer,Own,5,0.14,406.0,Moderate,False,True,True,False,True,False,""Online Shopping Card, Millennial SIP Booster, Classic Debit Card, Balloon Mortgage""'}, suggest suitable banking lending products"
15,"C1025438,M,442.56,2016-09-14 10:03:06,Young Professional,36,Female,Divorced,High,College,Statistician,Rent,4,0.35,519.0,Moderate,True,True,False,True,True,False,PayWave Debit Card","Based on the following customer data: {'CustomerID,CustGender,CustAccountBalance,TransactionDateTime,User_Profile,Age,Gender,Marital_Status,Income_Level,Education_Level,Occupation,Residential_Status,Dependents,Debt_to_Income,Credit_Bureau_Score,Credit_History,Recent_Personal_Loan_Inquiry_6M,Recent_Credit_Card_Inquiry_6M,Recent_Mortgage_Inquiry_6M,Recent_Personal_Loan_Inquiry_1Y,Recent_Credit_Card_Inquiry_1Y,Recent_Mortgage_Inquiry_1Y,servicesUsed': 'C1025438,M,442.56,2016-09-14 10:03:06,Young Professional,36,Female,Divorced,High,College,Statistician,Rent,4,0.35,519.0,Moderate,True,True,False,True,True,False,PayWave Debit Card'}, suggest suitable banking lending products"
16,"C1026833,M,33193.87,2016-09-06 20:13:08,Retired,22,Male,Divorced,High,University,Diagnostic radiographer,Rent,0,0.25,676.0,Bad,True,True,True,True,True,True,""SafeHome Insurance Planner, GoldMax Wealth Fund, Home Equity Line of Credit (HELOC), Senior Citizen Debit Card""","Based on the following customer data: {'CustomerID,CustGender,CustAccountBalance,TransactionDateTime,User_Profile,Age,Gender,Marital_Status,Income_Level,Education_Level,Occupation,Residential_Status,Dependents,Debt_to_Income,Credit_Bureau_Score,Credit_History,Recent_Personal_Loan_Inquiry_6M,Recent_Credit_Card_Inquiry_6M,Recent_Mortgage_Inquiry_6M,Recent_Personal_Loan_Inquiry_1Y,Recent_Credit_Card_Inquiry_1Y,Recent_Mortgage_Inquiry_1Y,servicesUsed': 'C1026833,M,33193.87,2016-09-06 20:13:08,Retired,22,Male,Divorced,High,University,Diagnostic radiographer,Rent,0,0.25,676.0,Bad,True,True,True,True,True,True,""SafeHome Insurance Planner, GoldMax Wealth Fund, Home Equity Line of Credit (HELOC), Senior Citizen Debit Card""'}, suggest suitable banking lending products"
17,"C1027440,F,11178.97,2016-09-09 11:34:50,Young Professional,46,Female,Married,High,University,Fine artist,Own,5,0.48,786.0,Moderate,False,True,True,False,True,True,""Super Premium Credit Card, Gold Cashback Credit Card""","Based on the following customer data: {'CustomerID,CustGender,CustAccountBalance,TransactionDateTime,User_Profile,Age,Gender,Marital_Status,Income_Level,Education_Level,Occupation,Residential_Status,Dependents,Debt_to_Income,Credit_Bureau_Score,Credit_History,Recent_Personal_Loan_Inquiry_6M,Recent_Credit_Card_Inquiry_6M,Recent_Mortgage_Inquiry_6M,Recent_Personal_Loan_Inquiry_1Y,Recent_Credit_Card_Inquiry_1Y,Recent_Mortgage_Inquiry_1Y,servicesUsed': 'C1027440,F,11178.97,2016-09-09 11:34:50,Young Professional,46,Female,Married,High,University,Fine artist,Own,5,0.48,786.0,Moderate,False,True,True,False,True,True,""Super Premium Credit Card, Gold Cashback Credit Card""'}, suggest suitable banking lending products"
18,"C1027630,F,40687.36,2016-08-28 22:57:23,Young Professional,64,Male,Widowed,Medium,University,""Exhibitions officer, museum/gallery"",Rent,2,0.29,572.0,Good,True,False,False,True,True,True,""SafePay Fraud Protection Suite, Vehicle Loan, Home Equity Line of Credit (HELOC), USDA Loan, VA Home Loan""","Based on the following customer data: {'CustomerID,CustGender,CustAccountBalance,TransactionDateTime,User_Profile,Age,Gender,Marital_Status,Income_Level,Education_Level,Occupation,Residential_Status,Dependents,Debt_to_Income,Credit_Bureau_Score,Credit_History,Recent_Personal_Loan_Inquiry_6M,Recent_Credit_Card_Inquiry_6M,Recent_Mortgage_Inquiry_6M,Recent_Personal_Loan_Inquiry_1Y,Recent_Credit_Card_Inquiry_1Y,Recent_Mortgage_Inquiry_1Y,servicesUsed': 'C1027630,F,40687.36,2016-08-28 22:57:23,Young Professional,64,Male,Widowed,Medium,University,""Exhibitions officer, museum/gallery"",Rent,2,0.29,572.0,Good,True,False,False,True,True,True,""SafePay Fraud Protection Suite, Vehicle Loan, Home Equity Line of Credit (HELOC), USDA Loan, VA Home Loan""'}, suggest suitable banking lending products"
19,"C1028463,M,2330746.03,2016-09-18 14:11:28,Self-Employed,48,Male,Single,Medium,University,Wellsite geologist,Own,2,0.29,663.0,Moderate,True,False,True,True,False,True,Secure Wealth Bond Series","Based on the following customer data: {'CustomerID,CustGender,CustAccountBalance,TransactionDateTime,User_Profile,Age,Gender,Marital_Status,Income_Level,Education_Level,Occupation,Residential_Status,Dependents,Debt_to_Income,Credit_Bureau_Score,Credit_History,Recent_Personal_Loan_Inquiry_6M,Recent_Credit_Card_Inquiry_6M,Recent_Mortgage_Inquiry_6M,Recent_Personal_Loan_Inquiry_1Y,Recent_Credit_Card_Inquiry_1Y,Recent_Mortgage_Inquiry_1Y,servicesUsed': 'C1028463,M,2330746.03,2016-09-18 14:11:28,Self-Employed,48,Male,Single,Medium,University,Wellsite geologist,Own,2,0.29,663.0,Moderate,True,False,True,True,False,True,Secure Wealth Bond Series'}, suggest suitable banking lending products"
20,"C1028540,M,2093332.21,2016-09-10 19:16:49,Young Professional,43,Female,Married,High,High School,Commercial/residential surveyor,Own,0,0.16,472.0,Good,False,False,True,True,False,False,""Wealth Premier Relationship Plan, USDA Loan, Platinum Rewards Credit Card, Youth Debit Card, Agriculture Loan""","Based on the following customer data: {'CustomerID,CustGender,CustAccountBalance,TransactionDateTime,User_Profile,Age,Gender,Marital_Status,Income_Level,Education_Level,Occupation,Residential_Status,Dependents,Debt_to_Income,Credit_Bureau_Score,Credit_History,Recent_Personal_Loan_Inquiry_6M,Recent_Credit_Card_Inquiry_6M,Recent_Mortgage_Inquiry_6M,Recent_Personal_Loan_Inquiry_1Y,Recent_Credit_Card_Inquiry_1Y,Recent_Mortgage_Inquiry_1Y,servicesUsed': 'C1028540,M,2093332.21,2016-09-10 19:16:49,Young Professional,43,Female,Married,High,High School,Commercial/residential surveyor,Own,0,0.16,472.0,Good,False,False,True,True,False,False,""Wealth Premier Relationship Plan, USDA Loan, Platinum Rewards Credit Card, Youth Debit Card, Agriculture Loan""'}, suggest suitable banking lending products"
21,"C1031079,M,27894.4,2016-09-06 23:20:07,Retired,67,Female,Widowed,Medium,College,Merchant navy officer,Own,2,0.21,657.0,Good,False,True,True,True,True,True,""Gold Cashback Credit Card, Infinity Capital Smart ULIP""","Based on the following customer data: {'CustomerID,CustGender,CustAccountBalance,TransactionDateTime,User_Profile,Age,Gender,Marital_Status,Income_Level,Education_Level,Occupation,Residential_Status,Dependents,Debt_to_Income,Credit_Bureau_Score,Credit_History,Recent_Personal_Loan_Inquiry_6M,Recent_Credit_Card_Inquiry_6M,Recent_Mortgage_Inquiry_6M,Recent_Personal_Loan_Inquiry_1Y,Recent_Credit_Card_Inquiry_1Y,Recent_Mortgage_Inquiry_1Y,servicesUsed': 'C1031079,M,27894.4,2016-09-06 23:20:07,Retired,67,Female,Widowed,Medium,College,Merchant navy officer,Own,2,0.21,657.0,Good,False,True,True,True,True,True,""Gold Cashback Credit Card, Infinity Capital Smart ULIP""'}, suggest suitable banking lending products"
22,"C1033711,M,29225.01,2016-09-11 20:20:40,Retired,61,Female,Divorced,Low,High School,Air cabin crew,Rent,5,0.46,724.0,Bad,True,True,False,False,False,True,""Fuel Saver Credit Card, Business Elite Card, CryptoLink Investment Portal, First-Time Home Buyer Loan, Fixed-Rate Mortgage""","Based on the following customer data: {'CustomerID,CustGender,CustAccountBalance,TransactionDateTime,User_Profile,Age,Gender,Marital_Status,Income_Level,Education_Level,Occupation,Residential_Status,Dependents,Debt_to_Income,Credit_Bureau_Score,Credit_History,Recent_Personal_Loan_Inquiry_6M,Recent_Credit_Card_Inquiry_6M,Recent_Mortgage_Inquiry_6M,Recent_Personal_Loan_Inquiry_1Y,Recent_Credit_Card_Inquiry_1Y,Recent_Mortgage_Inquiry_1Y,servicesUsed': 'C1033711,M,29225.01,2016-09-11 20:20:40,Retired,61,Female,Divorced,Low,High School,Air cabin crew,Rent,5,0.46,724.0,Bad,True,True,False,False,False,True,""Fuel Saver Credit Card, Business Elite Card, CryptoLink Investment Portal, First-Time Home Buyer Loan, Fixed-Rate Mortgage""'}, suggest suitable banking lending products"
23,"C1034937,M,2253.87,2016-09-14 21:08:28,Student,24,Male,Single,Low,University,Medical secretary,Own,3,0.26,751.0,Bad,False,False,True,False,True,False,""Youth Debit Card, Conventional Mortgage, Global Remit Express""","Based on the following customer data: {'CustomerID,CustGender,CustAccountBalance,TransactionDateTime,User_Profile,Age,Gender,Marital_Status,Income_Level,Education_Level,Occupation,Residential_Status,Dependents,Debt_to_Income,Credit_Bureau_Score,Credit_History,Recent_Personal_Loan_Inquiry_6M,Recent_Credit_Card_Inquiry_6M,Recent_Mortgage_Inquiry_6M,Recent_Personal_Loan_Inquiry_1Y,Recent_Credit_Card_Inquiry_1Y,Recent_Mortgage_Inquiry_1Y,servicesUsed': 'C1034937,M,2253.87,2016-09-14 21:08:28,Student,24,Male,Single,Low,University,Medical secretary,Own,3,0.26,751.0,Bad,False,False,True,False,True,False,""Youth Debit Card, Conventional Mortgage, Global Remit Express""'}, suggest suitable banking lending products"
24,"C1036122,M,64166.72,2016-09-13 17:20:37,Retired,42,Male,Married,Medium,High School,Chartered management accountant,Rent,3,0.38,811.0,Moderate,False,False,True,False,False,True,""GoldMax Wealth Fund, Luxury Debit Card, Medical Loan, Business Expansion Loan, FHA Loan""","Based on the following customer data: {'CustomerID,CustGender,CustAccountBalance,TransactionDateTime,User_Profile,Age,Gender,Marital_Status,Income_Level,Education_Level,Occupation,Residential_Status,Dependents,Debt_to_Income,Credit_Bureau_Score,Credit_History,Recent_Personal_Loan_Inquiry_6M,Recent_Credit_Card_Inquiry_6M,Recent_Mortgage_Inquiry_6M,Recent_Personal_Loan_Inquiry_1Y,Recent_Credit_Card_Inquiry_1Y,Recent_Mortgage_Inquiry_1Y,servicesUsed': 'C1036122,M,64166.72,2016-09-13 17:20:37,Retired,42,Male,Married,Medium,High School,Chartered management accountant,Rent,3,0.38,811.0,Moderate,False,False,True,False,False,True,""GoldMax Wealth Fund, Luxury Debit Card, Medical Loan, Business Expansion Loan, FHA Loan""'}, suggest suitable banking lending products"
25,"C1036336,M,20982.87,2016-09-25 20:09:40,Young Professional,66,Male,Widowed,Low,University,""Psychotherapist, dance movement"",Rent,3,0.16,557.0,Good,False,True,False,True,False,False,Wedding Loan","Based on the following customer data: {'CustomerID,CustGender,CustAccountBalance,TransactionDateTime,User_Profile,Age,Gender,Marital_Status,Income_Level,Education_Level,Occupation,Residential_Status,Dependents,Debt_to_Income,Credit_Bureau_Score,Credit_History,Recent_Personal_Loan_Inquiry_6M,Recent_Credit_Card_Inquiry_6M,Recent_Mortgage_Inquiry_6M,Recent_Personal_Loan_Inquiry_1Y,Recent_Credit_Card_Inquiry_1Y,Recent_Mortgage_Inquiry_1Y,servicesUsed': 'C1036336,M,20982.87,2016-09-25 20:09:40,Young Professional,66,Male,Widowed,Low,University,""Psychotherapist, dance movement"",Rent,3,0.16,557.0,Good,False,True,False,True,False,False,Wedding Loan'}, suggest suitable banking lending products"
